long_name,dob,height_cm,weight_kg,league_name,league_level,club_name,club_jersey_number,nationality_name,nation_jersey_number,preferred_foot,player_positions_desc,club_position_desc,nation_position_desc
marcos hernan peano,1998-10-15,188,78,liga profesional,1,union santa fe,41,argentina,99,derecha,arquero,suplente,no convocado
lautaro dante geminiani,1991-03-02,172,65,liga profesional,1,patronato,4,argentina,99,derecha,"lateral derecho, lateral izquierdo",lateral derecho,no convocado
claudio daniel sappa,1995-02-09,193,89,liga profesional,1,estudiantes,1,argentina,99,derecha,arquero,suplente,no convocado
joaquin bautista ibanez,1996-09-05,178,72,liga profesional,1,colon,7,argentina,99,izquierda,mediocampista izquierdo,suplente,no convocado
lautaro montoya,1994-10-07,170,73,liga profesional,1,central cordoba sde,13,argentina,99,izquierda,"lateral izquierdo, mediocampista izquierdo",lateral izquierdo,no convocado
ian eduardo escobar ibanez,1996-05-29,172,63,liga profesional,1,aldosivi,3,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo",lateral izquierdo,no convocado
marcelo damian ortiz,1994-01-13,186,80,liga profesional,1,atletico tucuman,3,argentina,99,derecha,"defensor central, lateral derecho",lateral derecho,no convocado
cristian david nunez morales,1997-09-20,165,71,liga profesional,1,godoy cruz,5,paraguay,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
javier agustin obando,2000-03-11,172,69,liga profesional,1,tigre,22,argentina,99,izquierda,mediocampista izquierdo,suplente,no convocado
facundo eduardo pons,1995-11-22,185,85,liga profesional,1,arsenal de sarandi,18,argentina,99,derecha,delantero,delantero izquierdo,no convocado
fabian steven angel bernal,2001-01-10,180,78,liga profesional,1,newell's old boys,6,colombia,99,derecha,mediocampista central,suplente,no convocado
jorge gaston comas,1998-06-13,174,70,liga profesional,1,union santa fe,42,argentina,99,derecha,"mediocampista central, mediocampista izquierdo",suplente,no convocado
roberto nicolas fernandez fagundez,1998-03-02,178,79,liga profesional,1,godoy cruz,8,uruguay,99,derecha,"mediocampista central, mediocampista derecho, lateral derecho",suplente,no convocado
joaquin indacoechea,2000-09-08,172,71,liga profesional,1,aldosivi,36,argentina,99,derecha,"lateral derecho, mediocampista central",suplente,no convocado
fernando martinez rojas,1994-05-13,175,69,liga profesional,1,sarmiento,5,paraguay,99,derecha,"mediocampista defensivo, mediocampista central",mediocentro izquierdo,no convocado
thiago thomas nuss,2001-01-02,172,68,liga profesional,1,argentinos juniors,18,argentina,99,derecha,"mediocampista derecho, extremo derecho, delantero",delantero izquierdo,no convocado
lautaro nicolas rios,2000-10-09,180,74,liga profesional,1,banfield,15,argentina,99,derecha,"mediocampista central, mediocampista defensivo",reserva,no convocado
javier ivan cazal baez,1999-03-22,175,72,liga profesional,1,lanus,30,paraguay,99,derecha,"mediocampista derecho, mediocampista izquierdo",suplente,no convocado
francesco lo celso,2000-03-05,176,73,liga profesional,1,rosario central,18,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central, mediocampista ofensivo",suplente,no convocado
lautaro tomas escalante,1999-07-02,170,67,liga profesional,1,defensa y justicia,15,argentina,99,derecha,mediocampista central,mediocentro izquierdo,no convocado
tiago nahuel banega,1999-07-01,177,67,liga profesional,1,arsenal de sarandi,5,argentina,99,derecha,mediocampista central,mediocampista defensivo derecho,no convocado
brian alexis leizza,2000-04-28,184,76,liga profesional,1,tigre,30,argentina,99,derecha,defensor central,suplente,no convocado
roberto joaquin garcia,2001-08-20,181,73,liga profesional,1,velez sarsfield,4,argentina,99,derecha,lateral derecho,reserva,no convocado
alexis amadeo sabella,2001-06-20,178,72,liga profesional,1,platense,23,argentina,99,derecha,"mediocampista izquierdo, extremo izquierdo, mediocampista ofensivo",suplente,no convocado
tomas ignacio marchiori carreno,1995-06-20,186,84,liga profesional,1,atletico tucuman,17,argentina,99,derecha,arquero,suplente,no convocado
franco orozco,2002-01-09,165,61,liga profesional,1,lanus,11,argentina,99,derecha,"mediocampista izquierdo, extremo izquierdo, extremo derecho",suplente,no convocado
marco genare di cesare,2002-06-30,186,81,liga profesional,1,argentinos juniors,29,argentina,99,derecha,defensor central,suplente,no convocado
franco baldassarra,1998-09-29,178,75,liga profesional,1,platense,32,argentina,99,derecha,"mediocampista derecho, mediocampista central, mediocampista izquierdo",mediocentro derecho,no convocado
ramiro sordo,2000-06-29,177,69,liga profesional,1,newell's old boys,26,argentina,99,derecha,"extremo izquierdo, mediocampista izquierdo, delantero",mediocampista izquierdo,no convocado
facundo aguero,1995-01-21,189,86,liga profesional,1,union santa fe,21,argentina,99,derecha,defensor central,suplente,no convocado
facundo mansilla,1999-02-27,190,79,liga profesional,1,newell's old boys,19,argentina,99,izquierda,defensor central,suplente,no convocado
franco zapiola,2001-02-19,176,70,liga profesional,1,estudiantes,22,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central",mediocampista izquierdo,no convocado
gabriel aranda,2001-04-16,190,82,liga profesional,1,boca juniors,39,argentina,99,derecha,defensor central,reserva,no convocado
tomas jacob,2004-04-20,180,74,liga profesional,1,newell's old boys,55,argentina,99,derecha,"lateral derecho, carrilero derecho",suplente,no convocado
flabian londono,2000-07-09,180,82,liga profesional,1,river plate,34,colombia,99,derecha,delantero,reserva,no convocado
juan pablo pignani,2001-07-02,190,80,liga profesional,1,platense,24,argentina,99,derecha,defensor central,defensor central,no convocado
maximiliano gonzalez,2004-05-04,178,73,liga profesional,1,lanus,19,argentina,99,derecha,"mediocampista defensivo, mediocampista central",reserva,no convocado
martin luciano,2003-08-12,177,70,liga profesional,1,newell's old boys,3,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo",lateral izquierdo,no convocado
mateo seoane,2004-02-09,178,66,liga profesional,1,velez sarsfield,26,argentina,99,derecha,"mediocampista central, mediocampista defensivo",reserva,no convocado
matias morello,2001-02-12,186,75,liga profesional,1,aldosivi,39,argentina,99,derecha,mediocampista central,mediocentro derecho,no convocado
ismael cortez,2000-06-26,185,75,liga profesional,1,rosario central,26,argentina,99,derecha,lateral derecho,suplente,no convocado
leandro ojeda,2001-07-23,177,74,liga profesional,1,colon,45,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
enzo larrosa,2001-04-21,185,75,liga profesional,1,godoy cruz,7,uruguay,99,izquierda,delantero,suplente,no convocado
lucas arce,1997-08-18,172,69,liga profesional,1,godoy cruz,24,argentina,99,derecha,lateral derecho,suplente,no convocado
andres lorenzo rios,1989-08-01,178,78,liga profesional,1,defensa y justicia,18,argentina,99,derecha,"delantero, mediocampista ofensivo, mediocampista central",suplente,no convocado
fabio francisco vazquez,1994-02-19,183,76,liga profesional,1,patronato,15,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
fernando gabriel godoy,1990-05-01,180,72,liga profesional,1,huracan,11,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
martin sebastian galmarini,1982-02-28,181,77,liga profesional,1,tigre,8,argentina,99,derecha,"lateral derecho, mediocampista derecho",suplente,no convocado
francisco di franco,1995-01-28,174,74,liga profesional,1,atletico tucuman,15,argentina,99,derecha,"mediocampista central, mediocampista derecho, mediocampista izquierdo",suplente,no convocado
lucas eduardo carrizo,1997-05-20,180,70,liga profesional,1,huracan,3,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
thomas ignacio galdames millan,1998-11-20,180,72,liga profesional,1,godoy cruz,3,chile,99,izquierda,"defensor central, lateral izquierdo",lateral izquierdo,no convocado
matias gabriel gallegos panozzo,1997-05-15,185,85,liga profesional,1,union santa fe,27,argentina,99,derecha,delantero,suplente,no convocado
alex matias ibacache mora,1999-01-11,175,75,liga profesional,1,san lorenzo,20,chile,99,izquierda,"lateral izquierdo, mediocampista izquierdo",suplente,no convocado
matias nahuel borgogno,1998-08-21,187,74,liga profesional,1,velez sarsfield,41,argentina,99,derecha,arquero,reserva,no convocado
maximiliano tomas centurion,1999-02-02,192,90,liga profesional,1,arsenal de sarandi,2,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
facundo mallo,1995-01-16,186,81,liga profesional,1,rosario central,15,uruguay,99,derecha,defensor central,suplente,no convocado
leonardo marchi rivero,1996-09-17,180,75,liga profesional,1,arsenal de sarandi,19,argentina,99,izquierda,lateral izquierdo,lateral izquierdo,no convocado
jean pierre rosso genova,1997-04-07,179,72,liga profesional,1,sarmiento,17,uruguay,99,derecha,lateral derecho,suplente,no convocado
alan nicolas marinelli,1999-04-07,174,68,liga profesional,1,rosario central,17,argentina,99,izquierda,"mediocampista derecho, delantero, mediocampista izquierdo",suplente,no convocado
juan emanuel hernandez rodriguez,1997-10-30,190,73,liga profesional,1,sarmiento,15,uruguay,99,derecha,defensor central,suplente,no convocado
jose pablo neris figueredo,2000-03-13,180,82,liga profesional,1,colon,18,uruguay,99,derecha,"delantero, mediocampista derecho, mediocampista ofensivo",reserva,no convocado
tobias joel zarate,2000-07-07,178,72,liga profesional,1,arsenal de sarandi,9,argentina,99,izquierda,delantero,delantero derecho,no convocado
alexis francisco flores,2002-01-11,182,76,liga profesional,1,san lorenzo,32,argentina,99,derecha,"defensor central, lateral derecho",suplente,no convocado
luca leovino martinez dupuy,2001-06-05,180,77,liga profesional,1,rosario central,29,mexico,99,derecha,delantero,suplente,no convocado
ignacio gariglio,1998-04-25,184,75,liga profesional,1,arsenal de sarandi,3,argentina,99,derecha,"defensor central, lateral derecho",lateral derecho,no convocado
luciano ismael ferreyra,2002-02-19,164,63,liga profesional,1,rosario central,11,argentina,99,derecha,"mediocampista izquierdo, mediocampista ofensivo",suplente,no convocado
ronaldo ivan martinez rolon,1996-04-25,174,71,liga profesional,1,platense,16,paraguay,99,derecha,delantero,suplente,no convocado
brian agustin nievas,1998-04-28,180,77,liga profesional,1,patronato,5,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
patricio ostachuk,2000-05-05,180,76,liga profesional,1,independiente,31,argentina,99,derecha,"defensor central, lateral derecho",suplente,no convocado
aaron facundo quiroz,2001-10-31,174,72,liga profesional,1,banfield,3,argentina,99,izquierda,"lateral izquierdo, defensor central",reserva,no convocado
diego calcaterra,2001-07-26,189,79,liga profesional,1,san lorenzo,15,argentina,99,derecha,"defensor central, mediocampista defensivo",suplente,no convocado
santiago paiva,1999-01-11,181,73,liga profesional,1,godoy cruz,39,uruguay,99,derecha,"delantero, mediocampista izquierdo",suplente,no convocado
rufino lucero,2002-02-01,174,74,liga profesional,1,aldosivi,4,argentina,99,derecha,"lateral derecho, carrilero derecho",lateral derecho,no convocado
matias mansilla,1996-02-15,188,80,liga profesional,1,central cordoba sde,31,argentina,99,derecha,arquero,suplente,no convocado
eros mancuso,1999-04-17,171,72,liga profesional,1,estudiantes,25,argentina,99,derecha,lateral derecho,suplente,no convocado
cristian zabala,1998-03-04,187,77,liga profesional,1,tigre,27,argentina,99,derecha,"mediocampista central, mediocampista derecho, mediocampista ofensivo",suplente,no convocado
jeremias james,2001-01-29,191,83,liga profesional,1,san lorenzo,24,argentina,99,izquierda,defensor central,suplente,no convocado
franco diaz,2000-08-28,176,75,liga profesional,1,platense,15,argentina,99,derecha,mediocampista central,suplente,no convocado
ivan leguizamon,2002-07-03,175,73,liga profesional,1,san lorenzo,41,paraguay,99,izquierda,"extremo derecho, extremo izquierdo, mediocampista ofensivo",suplente,no convocado
mateo sanabria,2004-03-31,178,72,liga profesional,1,lanus,23,argentina,99,derecha,"mediocampista izquierdo, extremo izquierdo",reserva,no convocado
santiago castro,2004-09-18,179,76,liga profesional,1,velez sarsfield,9,argentina,99,derecha,"delantero, extremo derecho",reserva,no convocado
joaquin pombo,2001-03-18,192,84,liga profesional,1,arsenal de sarandi,13,argentina,99,izquierda,defensor central,defensor central derecho,no convocado
federico redondo,2003-01-18,190,75,liga profesional,1,argentinos juniors,5,spain,99,derecha,mediocampista defensivo,suplente,no convocado
andres meli,2000-09-01,175,72,liga profesional,1,godoy cruz,21,argentina,99,izquierda,"mediocampista izquierdo, lateral izquierdo",reserva,no convocado
ulises ortegoza,1997-04-19,180,80,liga profesional,1,talleres cordoba,30,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",suplente,no convocado
brian blando,1995-04-01,177,77,liga profesional,1,lanus,27,argentina,99,derecha,delantero,reserva,no convocado
patricio pizarro,2000-07-26,183,71,liga profesional,1,huracan,35,argentina,99,derecha,defensor central,suplente,no convocado
axel bordon,1996-03-28,173,73,liga profesional,1,barracas central,24,argentina,99,derecha,"lateral derecho, carrilero derecho",suplente,no convocado
kevin ortiz,2000-09-18,176,70,liga profesional,1,rosario central,45,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocentro izquierdo,no convocado
brian aguirre,2003-01-06,178,75,liga profesional,1,newell's old boys,18,argentina,99,derecha,"mediocampista izquierdo, extremo izquierdo",suplente,no convocado
nicolas capraro,1998-03-03,184,78,liga profesional,1,barracas central,2,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
mauro peinipil,1999-04-03,178,75,liga profesional,1,barracas central,12,argentina,99,derecha,lateral derecho,suplente,no convocado
agustin sant'anna,1997-09-25,173,69,liga profesional,1,defensa y justicia,33,uruguay,99,derecha,lateral derecho,suplente,no convocado
bautista barros schelotto,2000-01-13,181,76,liga profesional,1,gimnasia la plata,33,argentina,99,derecha,lateral derecho,suplente,no convocado
adrian marcelo sporle,1995-07-13,182,76,liga profesional,1,arsenal de sarandi,6,argentina,99,izquierda,"lateral izquierdo, mediocampista izquierdo",suplente,no convocado
angel guillermo benitez,1993-12-08,170,69,liga profesional,1,huracan,14,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
nicolas servetto,1996-03-27,181,80,liga profesional,1,platense,19,argentina,99,derecha,delantero,suplente,no convocado
luis ignacio ingolotti,2000-01-14,184,81,liga profesional,1,aldosivi,31,argentina,99,derecha,arquero,arquero,no convocado
alvaro agustin lagos,2001-10-09,178,73,liga profesional,1,atletico tucuman,14,argentina,99,derecha,"lateral derecho, mediocampista derecho",suplente,no convocado
pablo gaston gerzel,2000-01-05,167,72,liga profesional,1,sarmiento,16,argentina,99,izquierda,"extremo izquierdo, mediocampista izquierdo",suplente,no convocado
federico versaci,2002-02-16,170,63,liga profesional,1,defensa y justicia,31,argentina,99,izquierda,"mediocampista izquierdo, mediocampista derecho, mediocampista ofensivo",reserva,no convocado
fernando andres prado avelino,2001-03-21,170,68,liga profesional,1,barracas central,15,uruguay,99,izquierda,"lateral izquierdo, defensor central",defensor central derecho,no convocado
rodrigo ezequiel herrera,2000-08-02,181,76,liga profesional,1,barracas central,5,argentina,99,derecha,mediocampista defensivo,mediocampista defensivo derecho,no convocado
gregorio jose tanco,1999-10-10,181,74,liga profesional,1,banfield,26,argentina,99,izquierda,defensor central,reserva,no convocado
agustin baldi,2002-05-11,188,75,liga profesional,1,tigre,25,argentina,99,izquierda,mediocampista defensivo,suplente,no convocado
jonatan david gallardo,1997-02-27,182,77,liga profesional,1,sarmiento,14,argentina,99,derecha,"mediocampista izquierdo, mediocampista derecho",suplente,no convocado
alan martin cantero,1998-06-28,184,80,liga profesional,1,barracas central,9,argentina,99,derecha,delantero,suplente,no convocado
yair gonzalez,2002-03-21,173,68,liga profesional,1,argentinos juniors,21,argentina,99,derecha,"mediocampista izquierdo, extremo izquierdo",reserva,no convocado
juan ignacio miramon,2003-06-12,179,74,liga profesional,1,gimnasia la plata,36,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocentro izquierdo,no convocado
pablo agustin minissale,2001-01-14,179,72,liga profesional,1,argentinos juniors,30,argentina,99,derecha,defensor central,suplente,no convocado
abel alejandro bustos,1999-05-18,169,72,liga profesional,1,central cordoba sde,14,argentina,99,derecha,mediocampista central,suplente,no convocado
ignacio agustin rodriguez,2002-02-22,175,68,liga profesional,1,banfield,45,argentina,99,izquierda,mediocampista central,suplente,no convocado
gonzalo lujan,2001-04-27,182,82,liga profesional,1,san lorenzo,35,argentina,99,derecha,"defensor central, lateral derecho",reserva,no convocado
mateo pellegrino,2001-10-22,193,89,liga profesional,1,estudiantes,28,argentina,99,izquierda,delantero,suplente,no convocado
bautista kociubinski,2001-04-26,180,83,liga profesional,1,estudiantes,12,argentina,99,derecha,"mediocampista defensivo, mediocampista central, defensor central",suplente,no convocado
federico paradela,1999-06-28,178,69,liga profesional,1,sarmiento,39,argentina,99,derecha,mediocampista central,suplente,no convocado
patricio boolsen,1998-01-28,185,79,liga profesional,1,aldosivi,26,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
david zalazar,2002-05-09,173,68,liga profesional,1,argentinos juniors,25,argentina,99,derecha,mediocampista izquierdo,reserva,no convocado
martin ortega,1999-08-20,183,75,liga profesional,1,tigre,4,argentina,99,derecha,lateral derecho,suplente,no convocado
tomas gonzalez,2003-05-18,170,68,liga profesional,1,union santa fe,19,argentina,99,derecha,delantero,suplente,no convocado
javier nicolas vallejo,2004-01-03,170,69,liga profesional,1,independiente,36,argentina,99,derecha,"extremo derecho, delantero",suplente,no convocado
valentin sanchez,2002-02-05,173,68,liga profesional,1,huracan,17,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",reserva,no convocado
enzo luna,2002-06-10,175,68,liga profesional,1,huracan,36,argentina,99,derecha,"extremo izquierdo, delantero, extremo derecho",reserva,no convocado
maico alejandro quiroz,2001-11-20,175,67,liga profesional,1,racing club,14,argentina,99,derecha,"mediocampista defensivo, mediocampista central",reserva,no convocado
gabriel paredes,2003-12-12,178,70,liga profesional,1,aldosivi,47,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo, mediocampista izquierdo",suplente,no convocado
octavio bianchi,1995-10-05,187,79,liga profesional,1,rosario central,20,argentina,99,derecha,delantero,suplente,no convocado
manuel brondo,2002-02-25,178,70,liga profesional,1,barracas central,11,argentina,99,derecha,delantero,suplente,no convocado
rodrigo castillo,1999-02-25,190,77,liga profesional,1,gimnasia la plata,34,argentina,99,derecha,delantero,suplente,no convocado
diego mastrangelo,2002-11-07,175,74,liga profesional,1,gimnasia la plata,35,argentina,99,derecha,defensor central,suplente,no convocado
federico jourdan,1991-01-13,175,72,liga profesional,1,central cordoba sde,5,argentina,99,derecha,mediocampista central,suplente,no convocado
jorge martin aruga torales,1998-10-04,172,72,liga profesional,1,patronato,26,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
tomas moschion,2000-06-02,171,66,liga profesional,1,colon,5,argentina,99,derecha,"mediocampista defensivo, mediocampista central",reserva,no convocado
santiago ramos mingo,2001-11-21,186,74,liga profesional,1,defensa y justicia,34,argentina,99,izquierda,defensor central,reserva,no convocado
deian veron,2000-09-24,180,78,liga profesional,1,estudiantes,11,argentina,99,derecha,mediocampista central,suplente,no convocado
juan pablo romero,1998-06-02,181,78,liga profesional,1,rosario central,12,argentina,99,izquierda,arquero,reserva,no convocado
bruno palazzo,2000-11-18,184,76,liga profesional,1,gimnasia la plata,37,argentina,99,derecha,"defensor central, lateral derecho",suplente,no convocado
alejandro aranda,1995-06-08,177,77,liga profesional,1,aldosivi,22,argentina,99,derecha,delantero,suplente,no convocado
juan cruz esquivel,2000-08-22,173,78,liga profesional,1,platense,30,argentina,99,derecha,"mediocampista izquierdo, delantero",suplente,no convocado
julian romero,2003-09-28,178,73,liga profesional,1,independiente,44,argentina,99,derecha,delantero,reserva,no convocado
juan zarza,2001-09-13,170,72,liga profesional,1,independiente,26,argentina,99,derecha,"mediocampista ofensivo, delantero centro",suplente,no convocado
alexander sosa,2001-05-18,178,70,liga profesional,1,patronato,89,argentina,99,derecha,delantero,delantero izquierdo,no convocado
tomas silva,2003-03-01,172,60,liga profesional,1,san lorenzo,46,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo",reserva,no convocado
brian aguilar,2003-04-13,179,76,liga profesional,1,lanus,29,argentina,99,derecha,"defensor central, lateral derecho",reserva,no convocado
nahuel casasola,2001-06-23,175,68,liga profesional,1,platense,25,argentina,99,izquierda,mediocampista defensivo,suplente,no convocado
juan carlos gauto,2004-06-01,170,66,liga profesional,1,huracan,33,argentina,99,derecha,"mediocampista izquierdo, mediocampista derecho",reserva,no convocado
santiago hidalgo,2005-02-17,171,65,liga profesional,1,independiente,41,argentina,99,izquierda,delantero,reserva,no convocado
santiago nunez,2000-04-29,187,83,liga profesional,1,estudiantes,33,argentina,99,derecha,defensor central,reserva,no convocado
gonzalo pineiro,2000-10-03,180,76,liga profesional,1,estudiantes,23,argentina,99,derecha,"mediocampista central, mediocampista ofensivo",reserva,no convocado
franco frias,2002-03-17,174,68,liga profesional,1,rosario central,34,argentina,99,derecha,"delantero, mediocampista izquierdo",suplente,no convocado
jose herrera,2003-04-16,172,68,liga profesional,1,argentinos juniors,26,argentina,99,izquierda,"mediocampista derecho, mediocampista izquierdo",reserva,no convocado
alex juarez,2004-09-17,171,62,liga profesional,1,barracas central,36,argentina,99,derecha,"mediocampista izquierdo, mediocampista central",suplente,no convocado
marcelo esponda,2003-01-14,176,76,liga profesional,1,newell's old boys,29,argentina,99,derecha,mediocampista defensivo,reserva,no convocado
elias britez,2001-03-11,174,73,liga profesional,1,aldosivi,50,argentina,99,derecha,"mediocampista derecho, extremo derecho",extremo derecho,no convocado
alan lescano,2001-11-11,182,74,liga profesional,1,gimnasia la plata,20,argentina,99,derecha,mediocampista central,reserva,no convocado
kevin lopez,2001-12-28,176,70,liga profesional,1,independiente,8,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
lucas fabrizio lopez,1998-01-29,179,78,liga profesional,1,barracas central,16,argentina,99,izquierda,mediocampista derecho,suplente,no convocado
agustin toledo,2000-03-01,178,71,liga profesional,1,rosario central,19,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
gonzalo silva,1999-03-21,173,71,liga profesional,1,colon,16,argentina,99,derecha,mediocampista central,reserva,no convocado
julian viollaz,2002-08-12,186,73,liga profesional,1,barracas central,31,argentina,99,izquierda,delantero,suplente,no convocado
mateo levato,1996-06-07,189,78,liga profesional,1,patronato,27,argentina,99,derecha,delantero,suplente,no convocado
alejandro ezequiel rivero gonzalez,1998-06-12,189,74,liga profesional,1,arsenal de sarandi,31,argentina,99,derecha,arquero,suplente,no convocado
rolando lautaro chavez,2001-01-17,175,68,liga profesional,1,gimnasia la plata,21,argentina,99,derecha,"mediocampista derecho, mediocampista izquierdo, delantero",suplente,no convocado
camilo hernan albornoz,2000-10-24,185,76,liga profesional,1,atletico tucuman,25,argentina,99,derecha,defensor central,suplente,no convocado
jose david romero,2003-03-25,176,73,liga profesional,1,talleres cordoba,34,argentina,99,derecha,delantero,suplente,no convocado
shayr mohamed gonzalez,2000-04-04,177,68,liga profesional,1,arsenal de sarandi,25,mexico,99,derecha,"mediocampista ofensivo, mediocampista central, mediocampista derecho",suplente,no convocado
lautaro amade,1999-12-21,194,87,liga profesional,1,defensa y justicia,1,argentina,99,derecha,arquero,suplente,no convocado
franco daniel rivasseau,1997-07-01,189,85,liga profesional,1,patronato,1,argentina,99,derecha,arquero,arquero,no convocado
nahuel manganelli,2001-02-19,184,82,liga profesional,1,gimnasia la plata,31,argentina,99,derecha,arquero,suplente,no convocado
diego alexandre segovia hernandez,2000-05-15,191,80,liga profesional,1,independiente,25,uruguay,99,derecha,arquero,suplente,no convocado
lautaro dario giaccone,2001-02-01,175,68,liga profesional,1,rosario central,16,argentina,99,derecha,"mediocampista izquierdo, mediocampista ofensivo",reserva,no convocado
cristian gonzalo torres,1999-12-24,178,76,liga profesional,1,central cordoba sde,11,argentina,99,izquierda,"delantero, mediocampista izquierdo",mediocampista izquierdo,no convocado
silvio nahuel ulariaga,2002-03-02,174,76,liga profesional,1,godoy cruz,29,argentina,99,derecha,delantero,reserva,no convocado
gonzalo alvez,2003-11-23,169,66,liga profesional,1,talleres cordoba,20,argentina,99,derecha,"extremo derecho, extremo izquierdo, delantero",reserva,no convocado
juan pablo barinaga,2000-06-13,166,70,liga profesional,1,patronato,16,argentina,99,derecha,"mediocampista central, mediocampista ofensivo",suplente,no convocado
nicolas romero,2003-11-28,186,81,liga profesional,1,atletico tucuman,20,argentina,99,izquierda,"defensor central, lateral izquierdo",suplente,no convocado
guillermo balzi,2001-07-23,175,64,liga profesional,1,newell's old boys,47,argentina,99,izquierda,mediocampista central,reserva,no convocado
agustin lastra,2001-01-02,194,83,liga profesional,1,aldosivi,1,argentina,99,derecha,arquero,suplente,no convocado
lautaro ovando,2003-02-10,174,73,liga profesional,1,argentinos juniors,22,argentina,99,derecha,delantero,reserva,no convocado
franco herrera,2003-09-19,190,93,liga profesional,1,newell's old boys,23,argentina,99,derecha,arquero,reserva,no convocado
brian orosco,1998-02-28,175,63,liga profesional,1,estudiantes,32,argentina,99,derecha,"mediocampista ofensivo, delantero, mediocampista derecho",reserva,no convocado
federico gonzalez,2001-01-13,180,72,liga profesional,1,platense,37,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central",suplente,no convocado
santiago toloza,2002-10-28,171,69,liga profesional,1,arsenal de sarandi,10,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",mediocampista izquierdo,no convocado
jose gomez,2000-03-06,173,79,liga profesional,1,central cordoba sde,36,argentina,99,derecha,lateral derecho,suplente,no convocado
francisco perruzzi,2001-02-09,177,69,liga profesional,1,san lorenzo,50,argentina,99,derecha,mediocampista defensivo,reserva,no convocado
augusto alcorcel,2000-08-14,185,75,liga profesional,1,platense,12,argentina,99,derecha,arquero,reserva,no convocado
marcos portillo,2000-01-31,174,70,liga profesional,1,newell's old boys,22,argentina,99,derecha,mediocampista central,reserva,no convocado
luis schlishting,2002-06-20,170,66,liga profesional,1,colon,47,argentina,99,derecha,lateral derecho,reserva,no convocado
santiago moya,2003-06-13,187,80,liga profesional,1,huracan,30,argentina,99,derecha,defensor central,reserva,no convocado
sergio fabian ortiz,2001-02-23,173,77,liga profesional,1,independiente,37,argentina,99,derecha,"mediocampista defensivo, mediocampista central",reserva,no convocado
tomas caceres,1999-09-26,168,64,liga profesional,1,patronato,25,argentina,99,derecha,mediocampista derecho,mediocampista derecho,no convocado
juan cruz giacone,2004-01-09,187,80,liga profesional,1,talleres cordoba,14,argentina,99,derecha,delantero,suplente,no convocado
alessandro balbo,2002-01-22,180,73,liga profesional,1,union santa fe,12,argentina,99,izquierda,"defensor central, lateral izquierdo",suplente,no convocado
nicolas paz,2002-10-16,180,73,liga profesional,1,union santa fe,32,argentina,99,derecha,"lateral derecho, lateral izquierdo",suplente,no convocado
facundo castelli,1995-02-18,183,75,liga profesional,1,central cordoba sde,9,argentina,99,derecha,delantero,delantero derecho,no convocado
sebastian valdez,1995-11-06,184,81,liga profesional,1,central cordoba sde,17,argentina,99,derecha,defensor central,suplente,no convocado
leandro ciccolini,1995-04-22,173,68,liga profesional,1,central cordoba sde,12,argentina,99,derecha,extremo derecho,suplente,no convocado
gaston pedernera,2000-10-09,168,63,liga profesional,1,godoy cruz,34,argentina,99,izquierda,"extremo izquierdo, delantero, mediocampista izquierdo",reserva,no convocado
gaston novero,1998-07-06,168,69,liga profesional,1,patronato,9,argentina,99,derecha,delantero,suplente,no convocado
nicolas federico femia,1996-08-08,185,73,liga profesional,1,sarmiento,20,argentina,99,derecha,mediocampista central,reserva,no convocado
guido villar,1995-02-15,192,79,liga profesional,1,barracas central,30,argentina,99,derecha,arquero,suplente,no convocado
tomas durso,1999-02-26,185,80,liga profesional,1,gimnasia la plata,1,argentina,99,derecha,arquero,arquero,no convocado
matias lautaro ruiz diaz,1996-09-09,179,74,liga profesional,1,patronato,6,argentina,99,derecha,lateral derecho,suplente,no convocado
rafael ferrario,2000-04-30,186,83,liga profesional,1,huracan,27,argentina,99,derecha,arquero,reserva,no convocado
jose alberto barreto,2000-02-22,170,71,liga profesional,1,patronato,18,argentina,99,derecha,delantero,delantero derecho,no convocado
