long_name,frases,embedding_index
leonel bucca,Es de nacionalidad argentina,9035
leonel bucca,Su número en el club es 26,9036
leonel bucca,En la selección juega como no convocado,9037
leonel bucca,leonel bucca pertenece al club union santa fe,9038
leonel bucca,leonel bucca juega con la camiseta número 26,9039
agustin hausch,"agustin hausch juega como delantero, extremo izquierdo en san lorenzo",9040
agustin hausch,agustin hausch nació el 2003-05-21,9041
agustin hausch,Mide 175 cm y pesa 65 kg,9042
agustin hausch,Su pierna hábil es la derecha,9043
agustin hausch,Su posición principal en el club es reserva,9044
agustin hausch,Es de nacionalidad argentina,9045
agustin hausch,Su número en el club es 19,9046
agustin hausch,En la selección juega como no convocado,9047
agustin hausch,agustin hausch pertenece al club san lorenzo,9048
agustin hausch,agustin hausch juega con la camiseta número 19,9049
braian sanchez,"braian sanchez juega como mediocampista izquierdo, mediocampista ofensivo en arsenal de sarandi",9050
braian sanchez,braian sanchez nació el 1993-06-11,9051
braian sanchez,Mide 175 cm y pesa 70 kg,9052
braian sanchez,Su pierna hábil es la derecha,9053
braian sanchez,Su posición principal en el club es suplente,9054
braian sanchez,Es de nacionalidad argentina,9055
braian sanchez,Su número en el club es 22,9056
braian sanchez,En la selección juega como no convocado,9057
braian sanchez,braian sanchez pertenece al club arsenal de sarandi,9058
braian sanchez,braian sanchez juega con la camiseta número 22,9059
lucas matias cano,lucas matias cano juega como delantero en arsenal de sarandi,9060
lucas matias cano,lucas matias cano nació el 1995-05-09,9061
lucas matias cano,Mide 180 cm y pesa 76 kg,9062
lucas matias cano,Su pierna hábil es la derecha,9063
lucas matias cano,Su posición principal en el club es reserva,9064
lucas matias cano,Es de nacionalidad argentina,9065
lucas matias cano,Su número en el club es 7,9066
lucas matias cano,En la selección juega como no convocado,9067
lucas matias cano,lucas matias cano pertenece al club arsenal de sarandi,9068
lucas matias cano,lucas matias cano juega con la camiseta número 7,9069
franco nicolas fragueda,franco nicolas fragueda juega como arquero en talleres cordoba,9070
franco nicolas fragueda,franco nicolas fragueda nació el 2000-07-25,9071
franco nicolas fragueda,Mide 189 cm y pesa 80 kg,9072
franco nicolas fragueda,Su pierna hábil es la derecha,9073
franco nicolas fragueda,Su posición principal en el club es reserva,9074
franco nicolas fragueda,Es de nacionalidad argentina,9075
franco nicolas fragueda,Su número en el club es 12,9076
franco nicolas fragueda,En la selección juega como no convocado,9077
franco nicolas fragueda,franco nicolas fragueda pertenece al club talleres cordoba,9078
franco nicolas fragueda,franco nicolas fragueda juega con la camiseta número 12,9079
marco campagnaro,marco campagnaro juega como lateral izquierdo en newell's old boys,9080
marco campagnaro,marco campagnaro nació el 2003-03-04,9081
marco campagnaro,Mide 181 cm y pesa 72 kg,9082
marco campagnaro,Su pierna hábil es la izquierda,9083
marco campagnaro,Su posición principal en el club es reserva,9084
marco campagnaro,Es de nacionalidad argentina,9085
marco campagnaro,Su número en el club es 52,9086
marco campagnaro,En la selección juega como no convocado,9087
marco campagnaro,marco campagnaro pertenece al club newell's old boys,9088
marco campagnaro,marco campagnaro juega con la camiseta número 52,9089
walter gabriel perez,"walter gabriel perez juega como lateral izquierdo, mediocampista izquierdo en huracan",9090
walter gabriel perez,walter gabriel perez nació el 1998-10-23,9091
walter gabriel perez,Mide 175 cm y pesa 76 kg,9092
walter gabriel perez,Su pierna hábil es la izquierda,9093
walter gabriel perez,Su posición principal en el club es lateral izquierdo,9094
walter gabriel perez,Es de nacionalidad argentina,9095
walter gabriel perez,Su número en el club es 13,9096
walter gabriel perez,En la selección juega como no convocado,9097
walter gabriel perez,walter gabriel perez pertenece al club huracan,9098
walter gabriel perez,walter gabriel perez juega con la camiseta número 13,9099
bruno leonel vides,"bruno leonel vides juega como delantero, extremo izquierdo en huracan",9100
bruno leonel vides,bruno leonel vides nació el 1993-02-20,9101
bruno leonel vides,Mide 178 cm y pesa 76 kg,9102
bruno leonel vides,Su pierna hábil es la derecha,9103
bruno leonel vides,Su posición principal en el club es suplente,9104
bruno leonel vides,Es de nacionalidad argentina,9105
bruno leonel vides,Su número en el club es 26,9106
bruno leonel vides,En la selección juega como no convocado,9107
bruno leonel vides,bruno leonel vides pertenece al club huracan,9108
bruno leonel vides,bruno leonel vides juega con la camiseta número 26,9109
andres felipe balanta cifuentes,andres felipe balanta cifuentes juega como mediocampista defensivo en atletico tucuman,9110
andres felipe balanta cifuentes,andres felipe balanta cifuentes nació el 2000-01-18,9111
andres felipe balanta cifuentes,Mide 178 cm y pesa 71 kg,9112
andres felipe balanta cifuentes,Su pierna hábil es la derecha,9113
andres felipe balanta cifuentes,Su posición principal en el club es suplente,9114
andres felipe balanta cifuentes,Es de nacionalidad colombia,9115
andres felipe balanta cifuentes,Su número en el club es 28,9116
andres felipe balanta cifuentes,En la selección juega como no convocado,9117
andres felipe balanta cifuentes,andres felipe balanta cifuentes pertenece al club atletico tucuman,9118
andres felipe balanta cifuentes,andres felipe balanta cifuentes juega con la camiseta número 28,9119
roberto fabian ramirez,roberto fabian ramirez juega como arquero en godoy cruz,9120
roberto fabian ramirez,roberto fabian ramirez nació el 1996-07-07,9121
roberto fabian ramirez,Mide 187 cm y pesa 73 kg,9122
roberto fabian ramirez,Su pierna hábil es la derecha,9123
roberto fabian ramirez,Su posición principal en el club es suplente,9124
roberto fabian ramirez,Es de nacionalidad argentina,9125
roberto fabian ramirez,Su número en el club es 1,9126
roberto fabian ramirez,En la selección juega como no convocado,9127
roberto fabian ramirez,roberto fabian ramirez pertenece al club godoy cruz,9128
roberto fabian ramirez,roberto fabian ramirez juega con la camiseta número 1,9129
nahuel cainelli,nahuel cainelli juega como mediocampista derecho en godoy cruz,9130
nahuel cainelli,nahuel cainelli nació el 1994-08-18,9131
nahuel cainelli,Mide 178 cm y pesa 75 kg,9132
nahuel cainelli,Su pierna hábil es la derecha,9133
nahuel cainelli,Su posición principal en el club es reserva,9134
nahuel cainelli,Es de nacionalidad argentina,9135
nahuel cainelli,Su número en el club es 26,9136
nahuel cainelli,En la selección juega como no convocado,9137
nahuel cainelli,nahuel cainelli pertenece al club godoy cruz,9138
nahuel cainelli,nahuel cainelli juega con la camiseta número 26,9139
ramiro lobo,"ramiro lobo juega como mediocampista ofensivo, extremo izquierdo en independiente",9140
ramiro lobo,ramiro lobo nació el 2002-04-26,9141
ramiro lobo,Mide 170 cm y pesa 68 kg,9142
ramiro lobo,Su pierna hábil es la derecha,9143
ramiro lobo,Su posición principal en el club es reserva,9144
ramiro lobo,Es de nacionalidad argentina,9145
ramiro lobo,Su número en el club es 39,9146
ramiro lobo,En la selección juega como no convocado,9147
ramiro lobo,ramiro lobo pertenece al club independiente,9148
ramiro lobo,ramiro lobo juega con la camiseta número 39,9149
enzo javier franco,enzo javier franco juega como lateral izquierdo en independiente,9150
enzo javier franco,enzo javier franco nació el 2004-01-24,9151
enzo javier franco,Mide 171 cm y pesa 77 kg,9152
enzo javier franco,Su pierna hábil es la izquierda,9153
enzo javier franco,Su posición principal en el club es reserva,9154
enzo javier franco,Es de nacionalidad argentina,9155
enzo javier franco,Su número en el club es 46,9156
enzo javier franco,En la selección juega como no convocado,9157
enzo javier franco,enzo javier franco pertenece al club independiente,9158
enzo javier franco,enzo javier franco juega con la camiseta número 46,9159
horacio gabriel carabajal,"horacio gabriel carabajal juega como mediocampista ofensivo, mediocampista izquierdo, mediocampista central en argentinos juniors",9160
horacio gabriel carabajal,horacio gabriel carabajal nació el 1991-12-09,9161
horacio gabriel carabajal,Mide 182 cm y pesa 70 kg,9162
horacio gabriel carabajal,Su pierna hábil es la derecha,9163
horacio gabriel carabajal,Su posición principal en el club es mediocentro izquierdo,9164
horacio gabriel carabajal,Es de nacionalidad argentina,9165
horacio gabriel carabajal,Su número en el club es 8,9166
horacio gabriel carabajal,En la selección juega como no convocado,9167
horacio gabriel carabajal,horacio gabriel carabajal pertenece al club argentinos juniors,9168
horacio gabriel carabajal,horacio gabriel carabajal juega con la camiseta número 8,9169
tomas alejandro chancalay,"tomas alejandro chancalay juega como extremo izquierdo, extremo derecho en racing club",9170
tomas alejandro chancalay,tomas alejandro chancalay nació el 1999-01-01,9171
tomas alejandro chancalay,Mide 179 cm y pesa 74 kg,9172
tomas alejandro chancalay,Su pierna hábil es la derecha,9173
tomas alejandro chancalay,Su posición principal en el club es extremo izquierdo,9174
tomas alejandro chancalay,Es de nacionalidad argentina,9175
tomas alejandro chancalay,Su número en el club es 28,9176
tomas alejandro chancalay,En la selección juega como no convocado,9177
tomas alejandro chancalay,tomas alejandro chancalay pertenece al club racing club,9178
tomas alejandro chancalay,tomas alejandro chancalay juega con la camiseta número 28,9179
jorman david campuzano puentes,"jorman david campuzano puentes juega como mediocampista defensivo, mediocampista central en boca juniors",9180
jorman david campuzano puentes,jorman david campuzano puentes nació el 1996-04-30,9181
jorman david campuzano puentes,Mide 175 cm y pesa 69 kg,9182
jorman david campuzano puentes,Su pierna hábil es la derecha,9183
jorman david campuzano puentes,Su posición principal en el club es suplente,9184
jorman david campuzano puentes,Es de nacionalidad colombia,9185
jorman david campuzano puentes,Su número en el club es 21,9186
jorman david campuzano puentes,En la selección juega como no convocado,9187
jorman david campuzano puentes,jorman david campuzano puentes pertenece al club boca juniors,9188
jorman david campuzano puentes,jorman david campuzano puentes juega con la camiseta número 21,9189
joel sonora,"joel sonora juega como mediocampista ofensivo, mediocampista central en velez sarsfield",9190
joel sonora,joel sonora nació el 1996-09-15,9191
joel sonora,Mide 174 cm y pesa 73 kg,9192
joel sonora,Su pierna hábil es la derecha,9193
joel sonora,Su posición principal en el club es mediocampista ofensivo,9194
joel sonora,Es de nacionalidad united states,9195
joel sonora,Su número en el club es 19,9196
joel sonora,En la selección juega como no convocado,9197
joel sonora,joel sonora pertenece al club velez sarsfield,9198
joel sonora,joel sonora juega con la camiseta número 19,9199
ezequiel eduardo bullaude,"ezequiel eduardo bullaude juega como mediocampista ofensivo, mediocampista central, mediocampista derecho en godoy cruz",9200
ezequiel eduardo bullaude,ezequiel eduardo bullaude nació el 2000-10-26,9201
ezequiel eduardo bullaude,Mide 184 cm y pesa 80 kg,9202
ezequiel eduardo bullaude,Su pierna hábil es la derecha,9203
ezequiel eduardo bullaude,Su posición principal en el club es mediocampista ofensivo,9204
ezequiel eduardo bullaude,Es de nacionalidad argentina,9205
ezequiel eduardo bullaude,Su número en el club es 33,9206
ezequiel eduardo bullaude,En la selección juega como no convocado,9207
ezequiel eduardo bullaude,ezequiel eduardo bullaude pertenece al club godoy cruz,9208
ezequiel eduardo bullaude,ezequiel eduardo bullaude juega con la camiseta número 33,9209
agustin maximiliano rogel paita,agustin maximiliano rogel paita juega como defensor central en estudiantes,9210
agustin maximiliano rogel paita,agustin maximiliano rogel paita nació el 1997-10-17,9211
agustin maximiliano rogel paita,Mide 190 cm y pesa 84 kg,9212
agustin maximiliano rogel paita,Su pierna hábil es la derecha,9213
agustin maximiliano rogel paita,Su posición principal en el club es defensor central derecho,9214
agustin maximiliano rogel paita,Es de nacionalidad uruguay,9215
agustin maximiliano rogel paita,Su número en el club es 3,9216
agustin maximiliano rogel paita,En la selección juega como no convocado,9217
agustin maximiliano rogel paita,agustin maximiliano rogel paita pertenece al club estudiantes,9218
agustin maximiliano rogel paita,agustin maximiliano rogel paita juega con la camiseta número 3,9219
nicolas santiago bertolo,"nicolas santiago bertolo juega como mediocampista izquierdo, extremo izquierdo, mediocampista ofensivo en banfield",9220
nicolas santiago bertolo,nicolas santiago bertolo nació el 1986-01-02,9221
nicolas santiago bertolo,Mide 180 cm y pesa 75 kg,9222
nicolas santiago bertolo,Su pierna hábil es la derecha,9223
nicolas santiago bertolo,Su posición principal en el club es suplente,9224
nicolas santiago bertolo,Es de nacionalidad argentina,9225
nicolas santiago bertolo,Su número en el club es 22,9226
nicolas santiago bertolo,En la selección juega como no convocado,9227
nicolas santiago bertolo,nicolas santiago bertolo pertenece al club banfield,9228
nicolas santiago bertolo,nicolas santiago bertolo juega con la camiseta número 22,9229
nicolas ezequiel fernandez mercau,"nicolas ezequiel fernandez mercau juega como carrilero izquierdo, mediocampista izquierdo, lateral izquierdo en san lorenzo",9230
nicolas ezequiel fernandez mercau,nicolas ezequiel fernandez mercau nació el 2000-01-11,9231
nicolas ezequiel fernandez mercau,Mide 172 cm y pesa 66 kg,9232
nicolas ezequiel fernandez mercau,Su pierna hábil es la izquierda,9233
nicolas ezequiel fernandez mercau,Su posición principal en el club es carrilero izquierdo,9234
nicolas ezequiel fernandez mercau,Es de nacionalidad argentina,9235
nicolas ezequiel fernandez mercau,Su número en el club es 26,9236
nicolas ezequiel fernandez mercau,En la selección juega como no convocado,9237
nicolas ezequiel fernandez mercau,nicolas ezequiel fernandez mercau pertenece al club san lorenzo,9238
nicolas ezequiel fernandez mercau,nicolas ezequiel fernandez mercau juega con la camiseta número 26,9239
matias galarza,matias galarza juega como mediocampista central en argentinos juniors,9240
matias galarza,matias galarza nació el 2002-03-04,9241
matias galarza,Mide 180 cm y pesa 72 kg,9242
matias galarza,Su pierna hábil es la derecha,9243
matias galarza,Su posición principal en el club es mediocentro derecho,9244
matias galarza,Es de nacionalidad argentina,9245
matias galarza,Su número en el club es 15,9246
matias galarza,En la selección juega como no convocado,9247
matias galarza,matias galarza pertenece al club argentinos juniors,9248
matias galarza,matias galarza juega con la camiseta número 15,9249
andres ulises mehring,andres ulises mehring juega como arquero en central cordoba sde,9250
andres ulises mehring,andres ulises mehring nació el 1994-04-19,9251
andres ulises mehring,Mide 191 cm y pesa 82 kg,9252
andres ulises mehring,Su pierna hábil es la derecha,9253
andres ulises mehring,Su posición principal en el club es suplente,9254
andres ulises mehring,Es de nacionalidad argentina,9255
andres ulises mehring,Su número en el club es 32,9256
andres ulises mehring,En la selección juega como no convocado,9257
andres ulises mehring,andres ulises mehring pertenece al club central cordoba sde,9258
andres ulises mehring,andres ulises mehring juega con la camiseta número 32,9259
oliver paz benitez,"oliver paz benitez juega como defensor central, lateral izquierdo en patronato",9260
oliver paz benitez,oliver paz benitez nació el 1991-06-07,9261
oliver paz benitez,Mide 186 cm y pesa 72 kg,9262
oliver paz benitez,Su pierna hábil es la izquierda,9263
oliver paz benitez,Su posición principal en el club es suplente,9264
oliver paz benitez,Es de nacionalidad argentina,9265
oliver paz benitez,Su número en el club es 3,9266
oliver paz benitez,En la selección juega como no convocado,9267
oliver paz benitez,oliver paz benitez pertenece al club patronato,9268
oliver paz benitez,oliver paz benitez juega con la camiseta número 3,9269
michael o'neal covea uzcategui,"michael o'neal covea uzcategui juega como mediocampista ofensivo, delantero centro, mediocampista central en rosario central",9270
michael o'neal covea uzcategui,michael o'neal covea uzcategui nació el 1993-08-21,9271
michael o'neal covea uzcategui,Mide 177 cm y pesa 75 kg,9272
michael o'neal covea uzcategui,Su pierna hábil es la derecha,9273
michael o'neal covea uzcategui,Su posición principal en el club es suplente,9274
michael o'neal covea uzcategui,Es de nacionalidad venezuela,9275
michael o'neal covea uzcategui,Su número en el club es 30,9276
michael o'neal covea uzcategui,En la selección juega como no convocado,9277
michael o'neal covea uzcategui,michael o'neal covea uzcategui pertenece al club rosario central,9278
michael o'neal covea uzcategui,michael o'neal covea uzcategui juega con la camiseta número 30,9279
fernando ezequiel juarez,fernando ezequiel juarez juega como mediocampista central en talleres cordoba,9280
fernando ezequiel juarez,fernando ezequiel juarez nació el 1998-08-23,9281
fernando ezequiel juarez,Mide 177 cm y pesa 66 kg,9282
fernando ezequiel juarez,Su pierna hábil es la derecha,9283
fernando ezequiel juarez,Su posición principal en el club es suplente,9284
fernando ezequiel juarez,Es de nacionalidad argentina,9285
fernando ezequiel juarez,Su número en el club es 35,9286
fernando ezequiel juarez,En la selección juega como no convocado,9287
fernando ezequiel juarez,fernando ezequiel juarez pertenece al club talleres cordoba,9288
fernando ezequiel juarez,fernando ezequiel juarez juega con la camiseta número 35,9289
manuel tadeo llano massa,"manuel tadeo llano massa juega como lateral derecho, mediocampista derecho en godoy cruz",9290
manuel tadeo llano massa,manuel tadeo llano massa nació el 1999-08-26,9291
manuel tadeo llano massa,Mide 184 cm y pesa 73 kg,9292
manuel tadeo llano massa,Su pierna hábil es la derecha,9293
manuel tadeo llano massa,Su posición principal en el club es reserva,9294
manuel tadeo llano massa,Es de nacionalidad argentina,9295
manuel tadeo llano massa,Su número en el club es 19,9296
manuel tadeo llano massa,En la selección juega como no convocado,9297
manuel tadeo llano massa,manuel tadeo llano massa pertenece al club godoy cruz,9298
manuel tadeo llano massa,manuel tadeo llano massa juega con la camiseta número 19,9299
tomas bernardo cavanagh,tomas bernardo cavanagh juega como lateral izquierdo en talleres cordoba,9300
tomas bernardo cavanagh,tomas bernardo cavanagh nació el 2001-01-05,9301
tomas bernardo cavanagh,Mide 182 cm y pesa 66 kg,9302
tomas bernardo cavanagh,Su pierna hábil es la izquierda,9303
tomas bernardo cavanagh,Su posición principal en el club es reserva,9304
tomas bernardo cavanagh,Es de nacionalidad argentina,9305
tomas bernardo cavanagh,Su número en el club es 53,9306
tomas bernardo cavanagh,En la selección juega como no convocado,9307
tomas bernardo cavanagh,tomas bernardo cavanagh pertenece al club talleres cordoba,9308
tomas bernardo cavanagh,tomas bernardo cavanagh juega con la camiseta número 53,9309
ignacio cechi,ignacio cechi juega como mediocampista central en lanus,9310
ignacio cechi,ignacio cechi nació el 2001-07-26,9311
ignacio cechi,Mide 179 cm y pesa 70 kg,9312
ignacio cechi,Su pierna hábil es la derecha,9313
ignacio cechi,Su posición principal en el club es suplente,9314
ignacio cechi,Es de nacionalidad argentina,9315
ignacio cechi,Su número en el club es 24,9316
ignacio cechi,En la selección juega como no convocado,9317
ignacio cechi,ignacio cechi pertenece al club lanus,9318
ignacio cechi,ignacio cechi juega con la camiseta número 24,9319
luciano cingolani,"luciano cingolani juega como extremo derecho, mediocampista derecho en newell's old boys",9320
luciano cingolani,luciano cingolani nació el 2001-04-06,9321
luciano cingolani,Mide 172 cm y pesa 67 kg,9322
luciano cingolani,Su pierna hábil es la derecha,9323
luciano cingolani,Su posición principal en el club es suplente,9324
luciano cingolani,Es de nacionalidad argentina,9325
luciano cingolani,Su número en el club es 27,9326
luciano cingolani,En la selección juega como no convocado,9327
luciano cingolani,luciano cingolani pertenece al club newell's old boys,9328
luciano cingolani,luciano cingolani juega con la camiseta número 27,9329
agustin rodriguez,"agustin rodriguez juega como mediocampista ofensivo, extremo izquierdo, delantero centro en lanus",9330
agustin rodriguez,agustin rodriguez nació el 2004-05-02,9331
agustin rodriguez,Mide 169 cm y pesa 62 kg,9332
agustin rodriguez,Su pierna hábil es la derecha,9333
agustin rodriguez,Su posición principal en el club es reserva,9334
agustin rodriguez,Es de nacionalidad argentina,9335
agustin rodriguez,Su número en el club es 16,9336
agustin rodriguez,En la selección juega como no convocado,9337
agustin rodriguez,agustin rodriguez pertenece al club lanus,9338
agustin rodriguez,agustin rodriguez juega con la camiseta número 16,9339
agustin alejandro curruhinca,"agustin alejandro curruhinca juega como mediocampista izquierdo, extremo izquierdo en huracan",9340
agustin alejandro curruhinca,agustin alejandro curruhinca nació el 2000-01-06,9341
agustin alejandro curruhinca,Mide 169 cm y pesa 66 kg,9342
agustin alejandro curruhinca,Su pierna hábil es la derecha,9343
agustin alejandro curruhinca,Su posición principal en el club es reserva,9344
agustin alejandro curruhinca,Es de nacionalidad argentina,9345
agustin alejandro curruhinca,Su número en el club es 21,9346
agustin alejandro curruhinca,En la selección juega como no convocado,9347
agustin alejandro curruhinca,agustin alejandro curruhinca pertenece al club huracan,9348
agustin alejandro curruhinca,agustin alejandro curruhinca juega con la camiseta número 21,9349
genaro rossi,genaro rossi juega como delantero en newell's old boys,9350
genaro rossi,genaro rossi nació el 2002-07-02,9351
genaro rossi,Mide 182 cm y pesa 80 kg,9352
genaro rossi,Su pierna hábil es la derecha,9353
genaro rossi,Su posición principal en el club es reserva,9354
genaro rossi,Es de nacionalidad argentina,9355
genaro rossi,Su número en el club es 24,9356
genaro rossi,En la selección juega como no convocado,9357
genaro rossi,genaro rossi pertenece al club newell's old boys,9358
genaro rossi,genaro rossi juega con la camiseta número 24,9359
eduardo antonio salvio,"eduardo antonio salvio juega como extremo derecho, mediocampista derecho en boca juniors",9360
eduardo antonio salvio,eduardo antonio salvio nació el 1990-07-13,9361
eduardo antonio salvio,Mide 173 cm y pesa 71 kg,9362
eduardo antonio salvio,Su pierna hábil es la derecha,9363
eduardo antonio salvio,Su posición principal en el club es reserva,9364
eduardo antonio salvio,Es de nacionalidad argentina,9365
eduardo antonio salvio,Su número en el club es 10,9366
eduardo antonio salvio,En la selección juega como no convocado,9367
eduardo antonio salvio,eduardo antonio salvio pertenece al club boca juniors,9368
eduardo antonio salvio,eduardo antonio salvio juega con la camiseta número 10,9369
carlos roberto izquierdoz,carlos roberto izquierdoz juega como defensor central en boca juniors,9370
carlos roberto izquierdoz,carlos roberto izquierdoz nació el 1988-11-03,9371
carlos roberto izquierdoz,Mide 185 cm y pesa 85 kg,9372
carlos roberto izquierdoz,Su pierna hábil es la derecha,9373
carlos roberto izquierdoz,Su posición principal en el club es defensor central derecho,9374
carlos roberto izquierdoz,Es de nacionalidad argentina,9375
carlos roberto izquierdoz,Su número en el club es 24,9376
carlos roberto izquierdoz,En la selección juega como no convocado,9377
carlos roberto izquierdoz,carlos roberto izquierdoz pertenece al club boca juniors,9378
carlos roberto izquierdoz,carlos roberto izquierdoz juega con la camiseta número 24,9379
julian alvarez,"julian alvarez juega como delantero, extremo derecho, extremo izquierdo en river plate",9380
julian alvarez,julian alvarez nació el 2000-01-31,9381
julian alvarez,Mide 173 cm y pesa 68 kg,9382
julian alvarez,Su pierna hábil es la derecha,9383
julian alvarez,Su posición principal en el club es delantero,9384
julian alvarez,Es de nacionalidad argentina,9385
julian alvarez,Su número en el club es 9,9386
julian alvarez,En la selección juega como suplente,9387
julian alvarez,julian alvarez pertenece al club river plate,9388
julian alvarez,julian alvarez juega con la camiseta número 9,9389
enzo jeremias fernandez,"enzo jeremias fernandez juega como mediocampista central, mediocampista defensivo en river plate",9390
enzo jeremias fernandez,enzo jeremias fernandez nació el 2001-01-17,9391
enzo jeremias fernandez,Mide 180 cm y pesa 77 kg,9392
enzo jeremias fernandez,Su pierna hábil es la derecha,9393
enzo jeremias fernandez,Su posición principal en el club es mediocentro derecho,9394
enzo jeremias fernandez,Es de nacionalidad argentina,9395
enzo jeremias fernandez,Su número en el club es 13,9396
enzo jeremias fernandez,En la selección juega como no convocado,9397
enzo jeremias fernandez,enzo jeremias fernandez pertenece al club river plate,9398
enzo jeremias fernandez,enzo jeremias fernandez juega con la camiseta número 13,9399
braian ezequiel romero,"braian ezequiel romero juega como delantero, mediocampista derecho en river plate",9400
braian ezequiel romero,braian ezequiel romero nació el 1991-06-15,9401
braian ezequiel romero,Mide 176 cm y pesa 73 kg,9402
braian ezequiel romero,Su pierna hábil es la derecha,9403
braian ezequiel romero,Su posición principal en el club es suplente,9404
braian ezequiel romero,Es de nacionalidad argentina,9405
braian ezequiel romero,Su número en el club es 19,9406
braian ezequiel romero,En la selección juega como no convocado,9407
braian ezequiel romero,braian ezequiel romero pertenece al club river plate,9408
braian ezequiel romero,braian ezequiel romero juega con la camiseta número 19,9409
federico eduardo lertora,"federico eduardo lertora juega como mediocampista defensivo, mediocampista central en colon",9410
federico eduardo lertora,federico eduardo lertora nació el 1990-07-05,9411
federico eduardo lertora,Mide 185 cm y pesa 79 kg,9412
federico eduardo lertora,Su pierna hábil es la derecha,9413
federico eduardo lertora,Su posición principal en el club es mediocampista central,9414
federico eduardo lertora,Es de nacionalidad argentina,9415
federico eduardo lertora,Su número en el club es 14,9416
federico eduardo lertora,En la selección juega como no convocado,9417
federico eduardo lertora,federico eduardo lertora pertenece al club colon,9418
federico eduardo lertora,federico eduardo lertora juega con la camiseta número 14,9419
domingo felipe blanco,"domingo felipe blanco juega como mediocampista central, mediocampista defensivo, mediocampista derecho en independiente",9420
domingo felipe blanco,domingo felipe blanco nació el 1995-04-22,9421
domingo felipe blanco,Mide 167 cm y pesa 63 kg,9422
domingo felipe blanco,Su pierna hábil es la derecha,9423
domingo felipe blanco,Su posición principal en el club es mediocentro izquierdo,9424
domingo felipe blanco,Es de nacionalidad argentina,9425
domingo felipe blanco,Su número en el club es 23,9426
domingo felipe blanco,En la selección juega como no convocado,9427
domingo felipe blanco,domingo felipe blanco pertenece al club independiente,9428
domingo felipe blanco,domingo felipe blanco juega con la camiseta número 23,9429
marcos guillermo diaz,marcos guillermo diaz juega como arquero en huracan,9430
marcos guillermo diaz,marcos guillermo diaz nació el 1986-02-05,9431
marcos guillermo diaz,Mide 187 cm y pesa 87 kg,9432
marcos guillermo diaz,Su pierna hábil es la derecha,9433
marcos guillermo diaz,Su posición principal en el club es arquero,9434
marcos guillermo diaz,Es de nacionalidad argentina,9435
marcos guillermo diaz,Su número en el club es 1,9436
marcos guillermo diaz,En la selección juega como no convocado,9437
marcos guillermo diaz,marcos guillermo diaz pertenece al club huracan,9438
marcos guillermo diaz,marcos guillermo diaz juega con la camiseta número 1,9439
nery andres dominguez,"nery andres dominguez juega como defensor central, mediocampista defensivo en racing club",9440
nery andres dominguez,nery andres dominguez nació el 1990-04-09,9441
nery andres dominguez,Mide 183 cm y pesa 71 kg,9442
nery andres dominguez,Su pierna hábil es la derecha,9443
nery andres dominguez,Su posición principal en el club es suplente,9444
nery andres dominguez,Es de nacionalidad argentina,9445
nery andres dominguez,Su número en el club es 23,9446
nery andres dominguez,En la selección juega como no convocado,9447
nery andres dominguez,nery andres dominguez pertenece al club racing club,9448
nery andres dominguez,nery andres dominguez juega con la camiseta número 23,9449
lucas emanuel gamba,"lucas emanuel gamba juega como delantero, mediocampista izquierdo en rosario central",9450
lucas emanuel gamba,lucas emanuel gamba nació el 1987-06-24,9451
lucas emanuel gamba,Mide 170 cm y pesa 70 kg,9452
lucas emanuel gamba,Su pierna hábil es la derecha,9453
lucas emanuel gamba,Su posición principal en el club es delantero derecho,9454
lucas emanuel gamba,Es de nacionalidad argentina,9455
lucas emanuel gamba,Su número en el club es 28,9456
lucas emanuel gamba,En la selección juega como no convocado,9457
lucas emanuel gamba,lucas emanuel gamba pertenece al club rosario central,9458
lucas emanuel gamba,lucas emanuel gamba juega con la camiseta número 28,9459
adrian ricardo centurion,"adrian ricardo centurion juega como extremo izquierdo, mediocampista ofensivo, extremo derecho en san lorenzo",9460
adrian ricardo centurion,adrian ricardo centurion nació el 1993-01-19,9461
adrian ricardo centurion,Mide 174 cm y pesa 71 kg,9462
adrian ricardo centurion,Su pierna hábil es la derecha,9463
adrian ricardo centurion,Su posición principal en el club es mediocampista ofensivo,9464
adrian ricardo centurion,Es de nacionalidad argentina,9465
adrian ricardo centurion,Su número en el club es 10,9466
adrian ricardo centurion,En la selección juega como no convocado,9467
adrian ricardo centurion,adrian ricardo centurion pertenece al club san lorenzo,9468
adrian ricardo centurion,adrian ricardo centurion juega con la camiseta número 10,9469
angel emanuel gonzalez,"angel emanuel gonzalez juega como mediocampista derecho, extremo derecho, delantero en lanus",9470
angel emanuel gonzalez,angel emanuel gonzalez nació el 1994-05-16,9471
angel emanuel gonzalez,Mide 169 cm y pesa 70 kg,9472
angel emanuel gonzalez,Su pierna hábil es la derecha,9473
angel emanuel gonzalez,Su posición principal en el club es suplente,9474
angel emanuel gonzalez,Es de nacionalidad argentina,9475
angel emanuel gonzalez,Su número en el club es 27,9476
angel emanuel gonzalez,En la selección juega como no convocado,9477
angel emanuel gonzalez,angel emanuel gonzalez pertenece al club lanus,9478
angel emanuel gonzalez,angel emanuel gonzalez juega con la camiseta número 27,9479
gustavo javier del prete,"gustavo javier del prete juega como delantero, mediocampista izquierdo en estudiantes",9480
gustavo javier del prete,gustavo javier del prete nació el 1996-06-12,9481
